populacao,municipio,cod_mun,ano
21317,Bequimão,2101905,2021
6102,Bernardo do Mearim,2101939,2021
8494,Boa Vista do Gurupi,2101970,2021
42010,Bom Jardim,2102002,2021
35095,Bom Jesus das Selvas,2102036,2021
16578,Bom Lugar,2102077,2021
36900,Brejo,2102101,2021
8841,Brejo de Areia,2102150,2021
28916,Buriti,2102200,2021
23993,Buriti Bravo,2102309,2021
73595,Buriticupu,2102325,2021
15503,Buritirana,2102358,2021
9524,Cachoeira Grande,2102374,2021
11255,Cajapió,2102408,2021
19521,Cajari,2102507,2021
14530,Campestre do Maranhão,2102556,2021
20376,Cândido Mendes,2102606,2021
22236,Cantanhede,2102705,2021
10937,Capinzal do Norte,2102754,2021
24151,Carolina,2102804,2021
24095,Carutapera,2102903,2021
166159,Caxias,2103000,2021
10711,Cedral,2103109,2021
8806,Central do Maranhão,2103125,2021
13876,Centro do Guilherme,2103158,2021
22056,Centro Novo do Maranhão,2103174,2021
80705,Chapadinha,2103208,2021
14855,Cidelândia,2103257,2021
123368,Codó,2103307,2021
49804,Coelho Neto,2103406,2021
41443,Colinas,2103505,2021
16559,Conceição do Lago,2103554,2021
65788,Coroatá,2103604,2021
32559,Cururupu,2103703,2021
12923,Davinópolis,2103752,2021
23393,Dom Pedro,2103802,2021
11451,Duque Bacelar,2103901,2021
16971,Esperantinópolis,2104008,2021
43097,Estreito,2104057,2021
8506,Feira Nova do Maranhão,2104073,2021
10559,Fernando Falcão,2104081,2021
19425,Formosa da Serra Negra,2104099,2021
12662,Fortaleza dos Nogueiras,2104107,2021
17812,Fortuna,2104206,2021
12104,Godofredo Viana,2104305,2021
17953,Gonçalves Dias,2104404,2021
10931,Governador Archer,2104503,2021
18740,Governador Edison Lobão,2104552,2021
14703,Governador Eugênio Barros,2104602,2021
7878,Governador Luiz Rocha,2104628,2021
10121,Governador Newton Bello,2104651,2021
25502,Governador Nunes Freire,2104677,2021
6261,Graça Aranha,2104701,2021
70692,Grajaú,2104800,2021
11966,Guimarães,2104909,2021
29143,Humberto de Campos,2105005,2021
27423,Icatu,2105104,2021
14470,Igarapé do Meio,2105153,2021
11453,Igarapé Grande,2105203,2021
259980,Imperatriz,2105302,2021
16158,Itaipava do Grajaú,2105351,2021
69233,Itapecuru Mirim,2105401,2021
26134,Itinga do Maranhão,2105427,2021
10464,Jatobá,2105450,2021
17123,Jenipapo dos Vieiras,2105476,2021
23677,João Lisboa,2105500,2021
16228,Joselândia,2105609,2021
4334,Junco do Maranhão,2105658,2021
50959,Lago da Pedra,2105708,2021
10900,Lago do Junco,2105807,2021
16369,Lago Verde,2105906,2021
11280,Lagoa do Mato,2105922,2021
8841,Lago dos Rodrigues,2105948,2021
11534,Lagoa Grande do Maranhão,2105963,2021
7653,Lajeado Novo,2105989,2021
11943,Lima Campos,2106003,2021
12271,Loreto,2106102,2021
7016,Luís Domingues,2106201,2021
20228,Magalhães de Almeida,2106300,2021
21773,Maracaçumé,2106326,2021
7757,Marajá do Sena,2106359,2021
16754,Maranhãozinho,2106375,2021
17122,Mata Roma,2106409,2021
23591,Matinha,2106508,2021
34099,Matões,2106607,2021
17316,Matões do Norte,2106631,2021
8502,Milagres do Maranhão,2106672,2021
