NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,40,Mil Reais,1023972,1504455,Medicilândia - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,216855,1504505,Melgaço - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,452082,1504604,Mocajuba - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1348481,1504703,Moju - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,288644,1504752,Mojuí dos Campos - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,807340,1504802,Monte Alegre - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,338764,1504901,Muaná - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,350842,1504950,Nova Esperança do Piriá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,192605,1504976,Nova Ipixuna - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,147491,1505007,Nova Timboteua - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,971539,1505031,Novo Progresso - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1117034,1505064,Novo Repartimento - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,965930,1505106,Óbidos - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,419077,1505205,Oeiras do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,2278575,1505304,Oriximiná - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,200629,1505403,Ourém - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,1302429,1505437,Ourilândia do Norte - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,867605,1505486,Pacajá - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,98769,1505494,Palestina do Pará - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,4280508,1505502,Paragominas - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,49763040,1505536,Parauapebas - PA,2021,2021,37,Produto Interno Bruto a preços correntes
6,Município,40,Mil Reais,114870,1505551,Pau D'Arco - PA,2021,2021,37,Produto Interno Bruto a preços correntes
