NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
6,Município,45,Pessoas,30080,1504505,Melgaço - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,28903,1504604,Mocajuba - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,91760,1504703,Moju - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25818,1504752,Mojuí dos Campos - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,64002,1504802,Monte Alegre - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,49648,1504901,Muaná - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21304,1504950,Nova Esperança do Piriá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,14400,1504976,Nova Ipixuna - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13175,1505007,Nova Timboteua - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37054,1505031,Novo Progresso - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,63796,1505064,Novo Repartimento - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,55527,1505106,Óbidos - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,36734,1505205,Oeiras do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,72889,1505304,Oriximiná - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18783,1505403,Ourém - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,35252,1505437,Ourilândia do Norte - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,43741,1505486,Pacajá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7063,1505494,Palestina do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,113498,1505502,Paragominas - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,305771,1505536,Parauapebas - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7354,1505551,Pau D'Arco - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,8686,1505601,Peixe-Boi - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,13366,1505635,Piçarra - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,18510,1505650,Placas - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25736,1505700,Ponta de Pedras - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,67580,1505809,Portel - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,44121,1505908,Porto de Moz - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,38733,1506005,Prainha - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,11379,1506104,Primavera - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,11838,1506112,Quatipuru - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,92694,1506138,Redenção - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19190,1506161,Rio Maria - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,57031,1506187,Rondon do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,37198,1506195,Rurópolis - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,48663,1506203,Salinópolis - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25687,1506302,Salvaterra - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,22530,1506351,Santa Bárbara do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,7626,1506401,Santa Cruz do Arari - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,79195,1506500,Santa Izabel do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21295,1506559,Santa Luzia do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,17065,1506583,Santa Maria das Barreiras - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25815,1506609,Santa Maria do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,30455,1506708,Santana do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,360871,1506807,Santarém - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,6355,1506906,Santarém Novo - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,29234,1507003,Santo Antônio do Tauá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,17258,1507102,São Caetano de Odivelas - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21555,1507151,São Domingos do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,32554,1507201,São Domingos do Capim - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,64651,1507300,São Félix do Xingu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15429,1507409,São Francisco do Pará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,24929,1507458,São Geraldo do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,4470,1507466,São João da Ponta - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,21477,1507474,São João de Pirabas - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,14293,1507508,São João do Araguaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,55970,1507607,São Miguel do Guamá - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,27651,1507706,São Sebastião da Boa Vista - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,6212,1507755,Sapucaia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,24989,1507805,Senador José Porfírio - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,25315,1507904,Soure - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,75290,1507953,Tailândia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,10837,1507961,Terra Alta - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,19792,1507979,Terra Santa - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,73058,1508001,Tomé-Açu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,30494,1508035,Tracuateua - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,15550,1508050,Trairão - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,42883,1508084,Tucumã - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,96119,1508100,Tucuruí - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,39360,1508126,Ulianópolis - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,45962,1508159,Uruará - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,54062,1508209,Vigia - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,62189,1508308,Viseu - PA,2025,2025,9324,População residente estimada
6,Município,45,Pessoas,16552,1508357,Vitória do Xingu - PA,2025,2025,9324,População residente estimada
